City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Hithadhoo,MV,-0.6,73.0833,81.95,70,99,5.88,overcast clouds
1,Jamestown,US,42.097,-79.2353,87.39,54,20,8.05,few clouds
2,Kangaba,ML,11.9333,-8.4167,76.5,87,98,3.38,moderate rain
3,Mar Del Plata,AR,-38.0023,-57.5575,48.22,61,40,14.97,scattered clouds
4,Husavik,IS,66.0449,-17.3389,66.11,59,69,1.97,broken clouds
5,Abu Dhabi,AE,24.4667,54.3667,104.11,41,0,4.61,clear sky
6,Ushuaia,AR,-54.8,-68.3,49.66,53,20,6.91,few clouds
7,Bandarbeyla,SO,9.4942,50.8122,75.76,86,33,31.83,scattered clouds
8,Cantagallo,CO,7.376,-73.9196,93.67,47,8,2.48,clear sky
9,Cape Town,ZA,-33.9258,18.4232,51.12,81,0,6.91,clear sky
10,Keuruu,FI,62.2667,24.7,62.74,95,100,5.12,overcast clouds
11,Bjornevatn,NO,69.6672,29.9847,64.74,63,0,3.44,clear sky
12,Busselton,AU,-33.65,115.3333,48.09,60,100,27.11,overcast clouds
13,Upernavik,GL,72.7868,-56.1549,42.44,79,30,2.98,scattered clouds
14,Den Helder,NL,52.9599,4.7593,64.38,88,40,13.8,scattered clouds
15,Kidal,ML,18.4411,1.4078,99.07,25,30,8.21,scattered clouds
16,East London,ZA,-33.0153,27.9116,57.81,64,35,20.58,light rain
17,Clarence Town,AU,-32.5833,151.7833,52.56,89,53,2.8,broken clouds
18,Saint George,US,37.1041,-113.5841,101.43,18,1,3.0,clear sky
19,Port Alfred,ZA,-33.5906,26.891,57.51,70,100,20.09,light rain
20,Ginir,ET,7.1333,40.7,62.71,68,93,4.79,overcast clouds
21,Viedma,AR,-40.8135,-62.9967,54.39,27,0,8.23,clear sky
22,Oranjemund,NA,-28.55,16.4333,54.86,71,0,21.52,clear sky
23,Salalah,OM,17.0151,54.0924,77.09,94,90,5.75,overcast clouds
24,Carbonia,IT,39.1672,8.5222,81.84,69,1,6.38,clear sky
25,Bereda,ES,43.2686,-7.5406,69.58,78,0,4.34,clear sky
26,Kerouane,GN,9.2667,-9.0167,71.08,96,99,2.21,moderate rain
27,Ilulissat,GL,69.2167,-51.1,51.82,37,20,18.41,few clouds
28,Dudinka,RU,69.4058,86.1778,50.04,92,4,9.13,clear sky
29,Mahebourg,MU,-20.4081,57.7,72.25,83,40,6.91,scattered clouds
30,Novyye Burasy,RU,52.1324,46.0714,77.83,45,98,7.07,overcast clouds
31,Gazojak,TM,41.1875,61.4036,82.17,18,0,11.61,clear sky
32,Hermanus,ZA,-34.4187,19.2345,50.9,68,5,4.09,clear sky
33,Rybachiy,RU,48.7073,44.7449,87.66,19,40,13.13,scattered clouds
